3,218,155,191,212,87,-20.500000000000007
5,422,364,467,554,235,-18.400000000000006
6,558,411,413,447,168,-74.40000000000002
8,0,0,0,0,0,0
14,0,0,0,0,0,0
23,2,5,30,13,41,8.600000000000003
24,81,97,244,382,101,32.50000000000001
25,2,0,0,1,0,-0.3
29,0,0,0,0,0,0
30,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,4,3,14,7,1,-0.20000000000000012
46,176,143,207,223,87,-9.800000000000002
47,298,474,623,579,180,-13.100000000000007
48,727,461,578,379,116,-130.40000000000003
49,516,390,398,335,196,-69.50000000000003
50,3865,3309,3493,2753,799,-668.8000000000002
51,211,184,258,159,43,-36.10000000000001
52,1091,1107,1277,970,390,-153.90000000000003
53,27,27,31,9,7,-5.800000000000001
56,341,353,262,426,229,-15.100000000000001
57,0,0,0,0,0,0
58,1,3,3,26,20,6.100000000000002
59,5,12,33,20,10,1.8
60,54,38,34,32,13,-8.800000000000002
61,1,0,1,0,0,-0.20000000000000007
62,126,76,124,117,22,-16.700000000000006
64,0,1,1,1,0,1.3544271750845251e-17
66,183,259,221,106,23,-47.30000000000001
67,36,31,13,13,5,-8.000000000000004
68,69,10,17,20,14,-10.000000000000002
69,35,48,6,38,7,-6.600000000000002
70,0,0,2,3,6,1.5000000000000004
71,2,0,49,36,1,3.4000000000000012
72,0,4,4,2,5,0.8000000000000003
73,3,4,3,5,4,0.30000000000000004
74,437,267,363,361,136,-50.80000000000001
75,19,5,11,11,10,-1.2000000000000004
76,2134,2053,2160,935,256,-487.40000000000015
77,253,159,124,170,136,-22.3
78,0,0,0,1,1,0.30000000000000004
79,1,15,64,60,14,7.1000000000000005
80,4,1,3,3,4,0.20000000000000004
81,10,20,35,8,3,-2.6000000000000005
82,501,326,220,132,13,-117.00000000000004
83,338,493,659,483,95,-49.60000000000001
84,1115,1128,1097,1091,421,-142.50000000000003
85,95,97,75,79,51,-10.600000000000001
86,833,754,821,836,245,-109.40000000000002
87,1003,912,797,790,275,-157.8
88,615,505,1106,1101,386,13.800000000000004
89,8,4,8,5,0,-1.5000000000000004
90,890,904,1032,1199,353,-77.9
91,0,0,6,3,0,0.30000000000000004
